순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김한별,NC,0.370,1,5,5,1.00,0,0.14,4.26,0.037,5.0,0.305
2,박건우,NC,0.353,35,63,85,0.74,6,0.58,3.72,0.196,62.1,0.323
3,김수윤,NC,0.333,0,0,1,0.00,0,0.33,4.00,0.000,1.0,0.276
3,박영빈,NC,0.333,1,0,0,-,0,0.00,5.33,0.333,0.9,0.317
5,박민우,NC,0.327,24,63,79,0.80,3,0.73,3.97,0.128,54.1,0.301
6,천재환,NC,0.292,4,10,16,0.63,0,0.38,3.75,0.146,7.0,0.271
7,손아섭,NC,0.291,23,110,63,1.75,6,0.26,3.79,0.113,43.4,0.246
8,서호철,NC,0.289,16,77,74,1.04,3,0.40,3.86,0.083,39.0,0.257
9,권희동,NC,0.285,20,76,82,0.93,6,1.02,4.54,0.108,49.8,0.279
10,데이비슨,NC,0.282,39,50,84,0.60,5,0.27,3.90,0.308,63.3,0.307
11,최정원,NC,0.271,2,24,9,2.67,1,0.63,4.38,0.029,10.3,0.253
12,박세혁,NC,0.253,6,14,21,0.67,1,0.30,3.77,0.092,10.5,0.238
13,박시원,NC,0.242,4,14,15,0.93,1,0.33,4.06,0.129,7.1,0.232
14,김휘집,NC,0.233,25,52,97,0.54,1,0.35,4.09,0.160,34.8,0.236
15,김형준,NC,0.219,21,33,55,0.60,6,0.38,4.19,0.202,35.4,0.252
16,한석현,NC,0.217,0,7,4,1.75,0,0.14,4.00,0.000,0.8,0.18
17,박한결,NC,0.213,7,8,13,0.62,0,0.38,3.87,0.404,9.1,0.29
18,도태훈,NC,0.200,3,24,22,1.09,1,0.74,4.27,0.038,8.6,0.214
18,오영수,NC,0.200,3,3,16,0.19,0,0.33,4.24,0.300,5.0,0.244
20,김성욱,NC,0.194,17,53,84,0.63,3,0.43,4.05,0.159,27.2,0.221
21,김주원,NC,0.193,12,45,70,0.64,2,0.42,4.09,0.103,26.8,0.217
22,김세훈,NC,0.000,0,2,0,-,0,0.50,4.40,0.000,0.0,0.09
22,김영규,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
22,김재열,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
22,류진욱,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
22,송명기,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
22,한재승,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
