순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,최원영,LG,0.364,1,3,3,1.00,0,0.00,3.58,0.091,1.9,0.301
2,김대원,LG,0.333,0,1,0,-,0,0.00,2.00,0.000,0.4,0.233
2,최명경,LG,0.333,0,1,0,-,0,0.00,3.67,0.000,0.3,0.233
4,문성주,LG,0.321,18,87,68,1.28,5,1.44,3.95,0.073,49.1,0.289
5,홍창기,LG,0.314,12,100,70,1.43,4,1.08,4.22,0.069,58.3,0.291
6,오스틴,LG,0.295,40,62,127,0.49,6,0.66,3.76,0.230,66.8,0.295
7,김현수,LG,0.292,24,86,110,0.78,7,0.64,3.75,0.118,49.6,0.26
8,문보경,LG,0.290,33,71,97,0.73,3,0.62,4.09,0.189,56.6,0.284
9,신민재,LG,0.285,10,92,61,1.51,2,1.14,3.61,0.042,39.3,0.253
10,김범석,LG,0.285,10,25,26,0.96,2,0.29,3.90,0.179,19.3,0.273
11,박동원,LG,0.275,27,66,61,1.08,2,0.61,4.17,0.202,47.6,0.285
12,구본혁,LG,0.266,12,56,81,0.69,7,0.68,3.76,0.070,25.9,0.233
13,박해민,LG,0.259,15,68,108,0.63,3,0.39,4.12,0.082,42.6,0.23
14,오지환,LG,0.254,20,35,44,0.80,2,0.45,4.21,0.143,28.0,0.259
15,김현종,LG,0.250,1,1,5,0.20,0,0.00,2.54,0.083,1.2,0.222
16,안익훈,LG,0.211,1,12,9,1.33,1,0.40,3.69,0.026,2.9,0.185
17,김주성,LG,0.167,0,2,3,0.67,0,-,3.78,0.000,1.1,0.242
17,최승민,LG,0.167,0,2,2,1.00,0,0.00,2.83,0.000,-0.4,0.117
17,허도환,LG,0.167,2,16,12,1.33,1,0.22,4.18,0.033,4.7,0.185
20,김성진,LG,0.143,0,0,3,0.00,0,0.33,4.13,0.000,0.3,0.148
21,김민수,LG,0.125,0,2,2,1.00,0,0.33,3.67,0.000,-0.2,0.131
22,김대현,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
22,김성우,LG,0.000,0,0,1,0.00,0,0.00,4.00,0.000,-0.3,0.0
22,김진성,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
22,김태우,LG,0.000,0,0,1,0.00,0,0.00,5.00,0.000,-0.3,0.0
22,송찬의,LG,0.000,0,1,2,0.50,0,0.33,3.38,0.000,0.1,0.113
22,유영찬,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
22,이지강,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
22,전준호,LG,0.000,0,0,0,-,0,0.00,5.00,0.000,-0.1,0.0
22,최동환,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
22,함창건,LG,0.0,0,2,6,0.33,0,2.0,4.45,0.0,-0.5,0.082
