순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,강성우,롯데,0.500,0,0,1,0.00,0,-,2.00,0.000,0.1,0.35
2,레이예스,롯데,0.358,37,106,83,1.28,9,0.51,3.84,0.160,70.1,0.309
3,황성빈,롯데,0.313,13,73,51,1.43,1,0.58,3.77,0.110,40.4,0.272
4,이정훈,롯데,0.313,7,25,14,1.79,1,0.61,4.13,0.088,12.3,0.274
5,손호영,롯데,0.311,23,47,54,0.87,2,0.32,3.25,0.216,33.0,0.293
6,윤동희,롯데,0.304,33,94,80,1.18,2,0.68,4.30,0.142,56.5,0.284
7,나승엽,롯데,0.301,27,54,60,0.90,2,0.70,4.15,0.153,43.2,0.292
8,고승민,롯데,0.294,23,66,78,0.85,3,0.58,3.98,0.140,42.1,0.27
9,전준우,롯데,0.284,26,60,66,0.91,2,0.62,3.73,0.214,39.0,0.286
10,이학주,롯데,0.263,6,9,17,0.53,0,0.14,4.19,0.126,11.7,0.241
11,박승욱,롯데,0.260,18,55,57,0.96,3,0.36,3.94,0.108,32.0,0.248
12,한동희,롯데,0.257,2,6,11,0.55,1,0.11,3.56,0.057,2.4,0.204
13,정훈,롯데,0.256,21,53,53,1.00,4,0.54,3.96,0.190,29.4,0.26
14,최항,롯데,0.254,4,36,28,1.29,2,0.30,4.10,0.040,10.1,0.21
15,정보근,롯데,0.226,3,21,26,0.81,0,0.11,3.57,0.095,5.6,0.19
16,김민석,롯데,0.203,4,21,19,1.11,1,0.11,3.43,0.068,3.5,0.181
17,김동혁,롯데,0.200,1,5,2,2.50,0,0.40,4.06,0.133,1.8,0.216
17,김민성,롯데,0.200,7,12,27,0.44,1,0.56,4.20,0.157,8.9,0.234
17,장두성,롯데,0.200,0,6,1,6.00,0,0.40,3.63,0.000,2.5,0.216
20,손성빈,롯데,0.198,8,20,27,0.74,1,0.32,4.21,0.186,8.3,0.216
21,유강남,롯데,0.191,8,50,36,1.39,0,0.36,3.84,0.132,12.7,0.205
22,오선진,롯데,0.188,1,3,3,1.00,0,0.29,3.70,0.063,2.0,0.22
23,노진혁,롯데,0.185,3,19,27,0.70,0,0.41,3.94,0.037,5.9,0.177
24,이주찬,롯데,0.174,2,7,3,2.33,1,0.11,3.75,0.174,1.3,0.181
25,서동욱,롯데,0.143,1,2,6,0.33,0,0.00,3.80,0.071,0.4,0.144
25,신윤후,롯데,0.143,0,5,10,0.50,1,0.33,4.25,0.000,0.2,0.133
27,김원중,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
27,백두산,롯데,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.1,0.0
27,이선우,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
27,이호준,롯데,-,0,0,0,-,0,-,6.00,-,0.3,0.45
27,정대선,롯데,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.2,0.0
27,추재현,롯데,-,0,0,0,-,0,-,-,-,0.2,0.0
