순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,박찬호,KIA,유격수,85,727.1,1.197,12.97
2,김태군,KIA,포수,67,427.1,0.866,9.38
3,김호령,KIA,중견수,40,106.2,0.467,5.05
4,김도영,KIA,3루수,90,752.0,0.22,2.38
5,이우성,KIA,좌익수,2,6.0,0.211,2.29
6,한준수,KIA,포수,69,410.2,0.202,2.19
7,박민,KIA,유격수,10,40.0,0.199,2.15
8,박정우,KIA,중견수,24,52.0,0.169,1.83
9,서건창,KIA,2루수,30,144.0,0.159,1.72
10,최원준,KIA,중견수,68,464.1,0.153,1.65
11,변우혁,KIA,3루수,7,35.0,0.147,1.59
12,홍종표,KIA,2루수,38,108.0,0.074,0.8
13,이창진,KIA,중견수,1,5.0,0.05,0.54
14,박정우,KIA,좌익수,3,3.0,-0.002,-0.02
15,박정우,KIA,우익수,1,9.0,-0.013,-0.14
16,김선빈,KIA,3루수,1,3.0,-0.024,-0.26
17,김선빈,KIA,2루수,73,566.0,-0.031,-0.34
18,소크라테스,KIA,우익수,4,11.0,-0.034,-0.37
19,고종욱,KIA,좌익수,7,19.0,-0.044,-0.47
19,황대인,KIA,1루수,2,10.0,-0.044,-0.48
21,홍종표,KIA,유격수,11,64.0,-0.079,-0.86
22,김규성,KIA,유격수,5,11.2,-0.084,-0.91
23,김규성,KIA,3루수,1,5.0,-0.11,-1.19
24,이창진,KIA,좌익수,35,177.2,-0.124,-1.34
25,한승택,KIA,포수,3,8.0,-0.145,-1.57
26,박민,KIA,2루수,4,28.0,-0.148,-1.6
27,이우성,KIA,우익수,16,105.0,-0.151,-1.64
28,변우혁,KIA,1루수,20,120.0,-0.16,-1.74
29,소크라테스,KIA,중견수,31,218.0,-0.207,-2.25
30,최원준,KIA,우익수,61,240.2,-0.21,-2.28
31,이창진,KIA,우익수,31,156.0,-0.264,-2.86
32,홍종표,KIA,3루수,12,47.0,-0.274,-2.97
33,서건창,KIA,1루수,37,209.0,-0.339,-3.67
34,나성범,KIA,우익수,42,324.1,-0.379,-4.1
35,최형우,KIA,좌익수,13,92.0,-0.42,-4.55
36,이우성,KIA,1루수,64,507.0,-1.128,-12.22
37,소크라테스,KIA,좌익수,79,548.1,-1.204,-13.04
47,최지민,KIA,투수,42,36.1,nan,nan
47,김선빈,KIA,유격수,2,3.0,nan,nan
47,박민,KIA,3루수,3,4.0,nan,nan
47,이형범,KIA,투수,11,10.1,nan,nan
47,황동하,KIA,투수,16,61.2,nan,nan
47,전상현,KIA,투수,43,41.2,nan,nan
47,정해영,KIA,투수,32,32.0,nan,nan
47,김승현,KIA,투수,7,7.2,nan,nan
47,곽도규,KIA,투수,42,33.2,nan,nan
