순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김규성,KIA,0.500,1,0,0,-,0,2.00,5.00,0.500,1.3,0.588
2,박정우,KIA,0.389,3,8,1,8.00,1,0.50,3.68,0.167,2.8,0.328
3,김도영,KIA,0.341,43,69,98,0.70,10,0.63,3.80,0.266,86.5,0.338
4,이우성,KIA,0.317,20,80,52,1.54,5,0.56,4.00,0.133,45.9,0.289
5,김선빈,KIA,0.312,17,85,61,1.39,3,0.96,4.03,0.116,38.2,0.28
6,홍종표,KIA,0.311,6,20,9,2.22,0,0.23,3.78,0.108,10.4,0.268
7,최원준,KIA,0.302,25,92,66,1.39,7,0.64,4.06,0.131,45.1,0.276
8,박찬호,KIA,0.302,19,110,96,1.15,3,0.90,3.64,0.073,43.4,0.252
9,소크라테스,KIA,0.297,37,87,106,0.82,3,0.53,3.65,0.207,62.5,0.287
10,한준수,KIA,0.294,17,43,54,0.80,0,0.49,3.92,0.139,28.2,0.267
11,고종욱,KIA,0.292,3,10,3,3.33,1,0.75,3.59,0.208,3.6,0.292
12,최형우,KIA,0.289,39,76,91,0.84,7,0.65,4.09,0.239,61.7,0.299
13,서건창,KIA,0.287,12,37,51,0.73,1,1.15,4.15,0.096,26.7,0.276
14,황대인,KIA,0.286,1,3,1,3.00,0,0.00,3.14,0.143,0.8,0.236
15,변우혁,KIA,0.281,6,12,16,0.75,0,0.17,3.49,0.156,6.9,0.25
16,박민,KIA,0.276,4,4,10,0.40,0,0.14,3.47,0.138,3.0,0.239
17,나성범,KIA,0.271,25,60,49,1.22,7,0.46,3.98,0.210,37.5,0.276
18,김태군,KIA,0.257,9,58,41,1.41,2,0.64,3.48,0.125,17.1,0.243
19,이창진,KIA,0.250,6,32,37,0.86,1,1.35,4.09,0.048,20.5,0.262
20,예진원,KIA,0.211,1,6,1,6.00,0,0.25,3.86,0.053,1.1,0.194
21,김호령,KIA,0.147,1,6,6,1.00,0,0.29,4.56,0.088,2.4,0.174
22,곽도규,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,전상현,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,정해영,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,최지민,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,한승택,KIA,0.000,0,0,1,0.00,0,-,5.00,0.000,0.3,0.225
22,황동하,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
