순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김규성,KIA,0.500,1,0,0,-,0,2.00,5.00,0.500,1.3,0.588
2,김도영,KIA,0.354,50,71,101,0.70,10,0.61,3.81,0.286,94.7,0.35
3,박정우,KIA,0.350,3,9,1,9.00,1,0.33,3.81,0.150,2.6,0.296
4,이우성,KIA,0.317,20,80,52,1.54,5,0.56,4.00,0.133,45.9,0.289
5,최원준,KIA,0.308,27,94,71,1.32,7,0.65,4.03,0.143,50.9,0.284
6,홍종표,KIA,0.308,6,23,9,2.56,0,0.23,3.69,0.103,10.6,0.263
7,한준수,KIA,0.307,18,44,57,0.77,0,0.51,3.86,0.138,30.9,0.275
8,소크라테스,KIA,0.302,41,89,112,0.79,4,0.52,3.67,0.222,69.4,0.294
9,김선빈,KIA,0.301,18,91,69,1.32,3,0.89,3.99,0.119,39.5,0.272
10,박찬호,KIA,0.294,19,116,100,1.16,3,0.85,3.70,0.069,43.8,0.246
11,최형우,KIA,0.293,40,80,93,0.86,9,0.64,4.13,0.236,65.8,0.302
12,고종욱,KIA,0.292,3,10,3,3.33,1,0.75,3.59,0.208,3.6,0.292
13,황대인,KIA,0.286,1,3,1,3.00,0,0.00,3.14,0.143,0.8,0.236
14,서건창,KIA,0.284,13,38,54,0.70,1,1.23,4.17,0.099,27.8,0.276
15,나성범,KIA,0.279,28,65,51,1.27,8,0.45,3.98,0.206,41.7,0.28
16,박민,KIA,0.276,4,4,10,0.40,0,0.14,3.47,0.138,3.0,0.239
17,김태군,KIA,0.267,10,62,43,1.44,2,0.56,3.51,0.121,18.8,0.246
18,변우혁,KIA,0.266,6,14,22,0.64,0,0.18,3.52,0.127,8.2,0.238
19,이창진,KIA,0.252,6,34,37,0.92,1,1.38,4.07,0.047,21.2,0.263
20,예진원,KIA,0.211,1,6,1,6.00,0,0.25,3.86,0.053,1.1,0.194
21,김호령,KIA,0.147,1,6,6,1.00,0,0.29,4.56,0.088,2.4,0.174
22,곽도규,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,김승현,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,이형범,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,전상현,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,정해영,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,최지민,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,한승택,KIA,0.000,0,0,1,0.00,0,-,5.00,0.000,0.3,0.225
22,황동하,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
