순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
1,김재현,키움,포수,69,52,491 1/3,6,1,399,36,6,0.986,4,39,17,30.4
1,김혜성,키움,2루수,69,68,589 2/3,12,0,147,203,54,0.967,0,0,0,-
1,최주환,키움,1루수,69,64,571 1/3,4,0,504,36,57,0.993,0,0,0,-
4,송성문,키움,3루수,58,48,432 2/3,1,0,39,78,10,0.992,0,0,0,-
5,도슨,키움,좌익수,50,44,382 2/3,2,0,102,0,0,0.981,0,0,0,-
6,조상우,키움,투수,41,0,36 2/3,0,0,1,3,0,1.0,0,0,0,-
7,고영우,키움,3루수,39,29,246 2/3,4,0,19,43,4,0.939,0,0,0,-
8,문성현,키움,투수,35,0,31 2/3,0,0,2,1,1,1.0,0,0,0,-
9,김성민,키움,투수,31,0,33,0,0,0,4,0,1.0,0,0,0,-
9,박수종,키움,중견수,31,15,156 2/3,2,0,43,0,0,0.956,0,0,0,-
11,이주형,키움,우익수,30,28,233,2,0,58,1,0,0.967,0,0,0,-
12,이재상,키움,유격수,29,22,188,4,0,39,45,12,0.955,0,0,0,-
12,주승우,키움,투수,29,0,26,0,0,3,7,0,1.0,0,0,0,-
14,김건희,키움,포수,28,21,169 1/3,2,0,96,10,0,0.981,1,20,5,20.0
15,김재웅,키움,투수,26,0,23 2/3,0,0,0,5,1,1.0,0,0,0,-
16,도슨,키움,중견수,25,22,185 2/3,0,0,58,0,0,1.0,0,0,0,-
17,김선기,키움,투수,20,5,42,0,0,0,8,0,1.0,0,0,0,-
17,이형종,키움,우익수,20,20,167,1,0,49,0,0,0.98,0,0,0,-
19,송성문,키움,1루수,18,7,75,0,0,64,5,13,1.0,0,0,0,-
19,이용규,키움,좌익수,18,16,141 2/3,0,0,41,0,0,1.0,0,0,0,-
19,헤이수스,키움,투수,18,18,103 1/3,1,0,1,9,1,0.909,0,0,0,-
19,후라도,키움,투수,18,18,112 1/3,0,0,9,10,0,1.0,0,0,0,-
